,Homo_sapiens,Macaca_mulatta,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Carlito_syrichta,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mus_musculus,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rattus_norvegicus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sarcophilus_harrisii,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
HTR1B,NM_000863.2,XM_015136810.1,XM_002926840.2,XM_012471892.1,XM_005192387.3,XM_002746745.3,XM_010998538.1,NM_001006948.1,XM_005684442.3,XM_008049025.1,XM_013142263.1,xm_004422050.2,XM_012064866.1,XM_005406899.2,XM_008006412.1,XM_006874565.1,XM_004673636.2,XM_007648028.2,XM_004481777.1,XM_013034099.1,XM_004696298.1,xm_006896964.1,XM_008142381.1,NM_001081779.1,XM_007521948.1,NM_001122872.1,XM_008591588.1,XM_004044314.1,XM_004863969.2,XM_005341693.1,XM_004660481.2,XM_003404385.2,XM_005552514.2,XM_011767427.1,XM_011995089.1,XM_017656247.1,XM_005073697.2,XM_012791163.1,XM_005347568.1,XM_016207294.1,XM_007484227.2,NM_010482.1,XM_004752794.2,XM_008827071.2,XM_003271136.2,XM_004580450.1,XM_004634366.1,XM_004417435.2,XM_004270099.2,NM_001082790.1,XM_003796742.2,XM_015097299.1,XM_003805816.2,NM_001009102.1,XM_003897825.3,XM_002817077.3,XM_012646065.1,XM_011364913.1,NM_022225.1,XM_010366617.1,XM_016157359.1,XM_003923273.2,XM_012549171.1,XM_004610112.1,NM_214298.1,xm_004390115.2,XM_006143333.2,
HTR1D,NM_000864.4,XM_015130554.1,XM_002919532.2,XM_012439771.1,XM_015462457.1,XM_009000604.2,XM_010979845.1,NM_001003280.1,XM_018055516.1,XM_008059547.1,XM_013153764.1,xm_014783969.1,XM_012080213.1,XM_005394751.1,XM_007980092.1,XM_006862326.1,XM_012722748.1,XM_003503640.1,XM_004465451.1,XM_013033534.1,XM_004705117.1,XM_006883541.1,XM_008148108.1,XM_005607367.2,XM_007528731.2,XM_003989645.2,XM_008572817.1,XM_004024873.1,XM_004850546.1,XM_005317576.1,XM_004657539.1,XM_010595068.1,XM_015441015.1,XM_011762807.1,XM_011966588.1,XM_017650509.1,XM_013121203.1,XM_012750872.1,XM_005353013.1,XM_016214538.1,XM_007491200.2,XM_017319986.1,XM_004741214.2,XM_008848578.2,XM_003271587.2,XM_004592276.1,XM_004637612.1,XM_004394774.2,XM_012539005.1,XM_017345524.1,XM_003783806.2,XM_015093689.1,XM_003810743.3,XM_009450424.2,XM_003891301.3,XM_002811313.2,XM_012650885.1,XM_011357564.1,XM_017593158.1,XM_010364369.1,XM_016149314.1,XM_003934885.2,XM_003764894.1,XM_004603418.1,xm_005653367.2,xm_004377143.1,XM_006145157.2,XM_004332620.1
HTR1E,NM_000865.2,XM_001090804.3,XM_011231647.1,XM_012444303.1,XM_005210904.3,xm_008992005.2,XM_010987724.1,XM_005627599.2,XM_005684708.3,XM_008067864.1,NM_001172751.1,xm_004422096.2,XM_012067087.1,XM_005377713.2,XM_008006527.1,XM_006870636.1,XM_004673671.2,xm_003503640.1,XM_004454487.2,XM_013032858.1,XM_004696267.1,xm_006899360.1,XM_008146368.1,XM_001503723.2,XM_007530636.2,XM_006931876.1,XM_008576375.1,XM_004044371.1,XM_004860245.1,XM_005324734.1,xm_004657539.1,XM_003404365.2,XM_005552413.2,XM_011766276.1,xm_011988858.1,XM_017640219.1,xm_013121203.1,XM_012750962.1,xm_005353013.1,XM_016207292.1,XM_007484296.1,nm_008310.3,XM_004766948.1,XM_008827551.1,XM_003258308.2,XM_004580407.1,XM_004628233.1,XM_004411751.1,XM_004264846.1,XM_002714562.3,xm_003783806.2,XM_012182818.1,XM_014345417.1,XM_003311375.3,XM_003897873.3,XM_002817117.2,XM_012638207.1,XM_011367389.1,,XM_010387950.1,XM_016128213.1,XM_003922958.2,XM_003769262.1,XM_004605649.1,xm_013992665.1,xm_004388977.2,xm_006143383.1,xm_004324059.1
HTR1F,NM_000866.4,XM_015128513.1,XM_002926833.2,XM_012454643.1,XM_015469006.1,XM_017967211.1,XM_010978524.1,XM_005638745.2,XM_005674795.2,XM_008061358.1,XM_005008693.2,xm_004440071.2,XM_012055442.1,XM_013506144.1,XM_007986166.1,xm_006864652.1,XM_004675282.2,XM_007630324.1,XM_004448614.2,XM_013024141.1,XM_004706432.1,XM_006894135.1,XM_008155579.1,XM_001501283.2,XM_007530604.1,XM_003991543.1,XM_008583085.1,XM_004035924.1,XM_004857909.1,XM_005334170.1,XM_004663300.1,XM_003410336.1,XM_005548399.2,XM_011733869.1,XM_011977252.1,XM_017657209.1,XM_013118159.1,XM_012743026.1,XM_005345241.1,XM_016196556.1,XM_007500751.2,NM_008310.3,XM_004777960.2,XM_008832232.1,XM_003255135.2,XM_004596566.1,XM_004634822.1,XM_004413560.2,XM_004272643.2,XM_002716759.3,XM_003783930.2,XM_015092402.1,XM_003831514.3,NM_001195269.1,XM_009198392.2,XM_002813411.2,XM_012644329.1,XM_011356412.1,NM_021857.3,XM_010374097.1,XM_016145827.1,XM_003928318.2,XM_003765524.1,XM_004607000.1,XM_005670286.2,xm_004371333.1,XM_006155333.1,XM_004321395.1
HTR2A,NM_000621.4,XM_015120877.1,XM_002914977.2,XM_012465159.1,NM_001001157.1,XM_002742676.3,XM_010980835.1,NM_001005869.1,XM_005687443.3,XM_008052751.1,XM_003477480.3,xm_004433653.2,XM_012064327.1,XM_005387547.2,XM_007960372.1,XM_006837636.1,XM_004680258.2,NM_001246728.1,XM_004472872.1,XM_013036627.1,XM_004714061.1,XM_006887805.1,XM_008152051.1,XM_014732013.1,XM_007521214.2,XM_003980393.3,XM_008571770.1,XM_004054487.1,XM_004844194.1,XM_005330191.1,XM_004665876.1,XM_003412616.2,XM_005585828.2,XM_011756551.1,XM_011973622.1,XM_017665258.1,XM_013114000.1,XM_012758547.1,XM_005355612.2,XM_016199505.1,XM_007495431.2,NM_172812.2,XM_004759184.2,XM_008824371.2,XM_003270063.3,XM_004577478.1,XM_004633082.1,XM_004412221.1,XM_004274591.1,XM_008273798.2,XM_003803358.2,XM_004012066.3,XM_003811414.2,XM_522752.6,XM_003919683.3,NM_001133446.1,XM_012643830.1,XM_011372026.1,NM_017254.1,XM_010358103.1,XM_016129336.1,XM_010330057.1,XM_012545294.1,XM_004604572.2,XM_013980517.1,xm_004376585.1,XM_006140646.2,xm_004331699.1
HTR2B,NM_000867.4,XM_015111331.1,XM_002917440.2,XM_012434129.1,XM_010802399.2,XM_002749883.3,XM_010985651.1,NM_001024633.1,XM_005676671.3,XM_008055065.1,NM_001172962.2,xm_004427671.2,XM_012072604.1,XM_005395400.1,XM_007966609.1,XM_006866737.1,XM_004674205.2,XM_007626075.2,XM_004451412.2,XM_013010593.1,XM_004701671.1,XM_006893481.1,XM_008160205.1,XM_001498084.4,XM_007519416.1,XM_003991248.3,XM_008587764.1,XM_004033342.1,XM_004868046.2,XM_005326441.1,XM_004662949.1,XM_003417917.2,XM_015432943.1,XM_011728174.1,XM_011998078.1,XM_017679754.1,XM_005082535.2,XM_012749387.1,XM_005361766.2,XM_016204680.1,XM_001365625.3,XM_006529147.2,XM_004773454.2,XM_008838065.1,XM_012506064.1,XM_004576737.1,XM_004637306.1,XM_004396037.1,XM_004262604.1,XM_017343191.1,XM_003784872.2,XM_012148490.2,XM_003821860.3,XM_001144172.4,XM_003908063.3,XM_009238216.1,XM_012652202.1,XM_011381037.1,XM_017596306.1,XM_010362000.1,XM_016134693.1,XM_010341154.1,XM_003770261.1,XM_004610809.1,XM_005672269.2,xm_004389505.1,XM_006171119.2,XM_004328289.1
HTR2C,NM_000868.3,XM_001102085.2,XM_002924491.2,XM_012451777.1,XM_015470372.1,XM_002763170.3,XM_010996112.1,XM_005640991.2,XM_005700259.2,XM_008063020.1,XM_003467625.3,xm_004440506.2,XM_012087661.1,XM_005404627.1,XM_007992625.1,XM_006873803.1,XM_004685722.1,XM_003508810.2,xm_004472872.1,XM_013035959.1,XM_004710060.1,XM_006901580.1,XM_008156101.1,XM_001488512.2,XM_007533263.2,XM_004000810.3,XM_008568149.1,XM_004064736.1,XM_004874795.1,XM_005323336.1,XM_004659115.1,XM_003414794.2,XM_005594406.1,XM_011756207.1,XM_011984374.1,XM_017650197.1,XM_013122330.1,XM_012749569.1,XM_005368510.1,XM_016213559.1,XM_016426779.1,NM_008312.4,XM_013048464.1,XM_008841567.1,XM_003262218.1,XM_004590205.1,XM_004640016.1,XM_004411846.1,XM_004283972.1,XM_017350005.1,XM_003802053.1,xm_015105080.1,XM_008971127.1,XM_009439546.2,XM_009198160.2,XM_003779705.2,XM_012653519.1,XM_011374359.1,XM_017601920.1,XM_010356815.1,XM_016132211.1,XM_003935836.1,XM_003774929.2,XM_004614477.1,NM_001286590.1,xm_004379787.1,XM_006165312.1,xm_004323520.1
HTR4,NM_000870.6,XM_015141207.1,XM_002930556.2,XM_012455135.1,XM_015472292.1,XM_008987493.2,XM_010989465.1,XM_005619320.2,XM_005683139.3,XM_008061901.1,NM_001172963.1,xm_014786220.1,XM_012068707.1,XM_013512121.1,XM_008014919.1,XM_006863851.1,XM_004686865.1,XM_007610315.2,XM_012526010.1,XM_013025489.1,XM_013004797.1,XM_006893718.1,XM_008152176.1,XM_014730311.1,XM_007516376.1,XM_006928073.1,XM_008585804.1,XM_004042779.1,XM_004854372.1,XM_005324189.1,XM_004664748.1,XM_010591674.1,XM_005558201.2,XM_011716074.1,XM_011985396.1,XM_017644179.1,XM_013116733.1,XM_012741597.1,XM_005356184.1,XM_016217380.1,XM_007474061.2,XM_006525678.3,XM_013051230.1,XM_008837889.2,XM_003266614.3,XM_004587559.2,XM_004631273.2,XM_004402784.2,XM_004280376.1,XM_008255222.2,XM_012807695.1,XM_015096125.1,XM_003829051.1,XM_001162339.5,XM_003900332.3,XM_002816058.3,XM_012658261.1,XM_011371121.1,XM_017600860.1,XM_010386837.1,XM_016150327.1,XM_003933995.1,XM_003756854.2,XM_004620596.1,NM_001001267.1,xm_004384919.2,XM_014587657.1,XM_004320182.1
HTR5A,NM_024012.3,NM_001195824.1,XM_002926048.2,XM_012445328.1,NM_001192842.1,XM_009002779.2,XM_010990936.1,XM_014119982.1,XM_013963623.2,XM_008068424.1,NM_001172755.1,xm_004430584.2,XM_012032130.1,XM_005404860.1,XM_007983583.1,XM_006871296.1,XM_012733872.1,XM_003500040.1,XM_004472353.1,XM_013027232.1,XM_004702328.1,XM_006887651.1,XM_008156450.1,XM_001504683.5,XM_007528660.1,XM_003983252.3,XM_008567079.1,XM_004046538.1,XM_004860342.1,XM_005326692.1,XM_004669561.1,XM_003409812.2,XM_005551252.2,XM_011729896.1,XM_011973075.1,XM_017653721.1,XM_005084203.2,XM_012786251.1,XM_005367453.1,XM_016196987.1,XM_001372546.3,NM_008314.2,XM_004766003.2,XM_008847260.1,XM_003280606.3,XM_004597515.1,XM_004628970.1,XM_004403476.1,XM_004281226.1,XM_002715025.3,XM_003792024.1,XM_015095465.1,XM_003816353.2,xm_519477.5,XM_003896907.3,XM_002818711.2,XM_012654158.1,XM_011370387.1,NM_013148.1,XM_010368151.1,XM_016160978.1,XM_003941834.2,XM_003771788.1,XM_004620162.1,xm_001927428.2,xm_004372757.1,XM_006143806.1,XM_004330821.1
HTR6,NM_000871.2,XM_015129771.1,XM_002915650.2,XM_012440257.1,NM_001205717.1,XM_002750377.3,XM_010997645.1,XM_544528.5,XM_018054884.1,XM_008053334.1,XM_003471364.3,xm_004425657.2,XM_012080371.1,XM_005394663.2,XM_007980250.1,XM_006866318.1,XM_012722664.1,XM_007627823.2,XM_004458620.1,XM_013033723.1,XM_004705138.1,XM_006883583.1,XM_008148141.1,XM_001504358.2,xm_007520223.1,XM_011284572.1,XM_008589628.1,XM_004024803.1,XM_013074333.1,XM_005317533.1,XM_004657345.1,XM_003413432.2,XM_005544575.2,XM_011743757.1,XM_011993148.1,XM_017674535.1,XM_005081050.2,XM_012787682.1,XM_005352952.1,XM_016214528.1,XM_001378332.3,XM_011250196.2,XM_013048295.1,XM_008821842.2,XM_003271729.3,XM_004592302.1,XM_004637657.1,XM_004397056.1,XM_004272481.1,XM_008265805.2,XM_003783838.1,XM_012157423.2,XM_003814420.1,NM_001034092.1,XM_003891241.2,XM_003775783.1,XM_012656929.1,XM_011357502.1,XM_017593608.1,XM_010385543.1,XM_016128308.1,XM_003934929.1,XM_012547362.1,XM_004603390.1,XM_003356173.3,xm_004377181.1,XM_006145205.2,XM_004332603.1
HTR7,NM_000872.4,XM_015147664.1,XM_011222434.1,XM_012454756.1,XM_005197065.3,XM_002756389.3,XM_010974276.1,XM_534958.5,XM_018041723.1,XM_008059169.1,NM_001172964.1,xm_014785531.1,XM_012063093.1,XM_005385841.2,XM_007963518.1,XM_006831131.1,XM_004680636.2,XM_003498959.3,XM_004449982.2,XM_013034349.1,XM_004701082.1,XM_006880327.1,XM_008156922.1,XM_005602572.2,XM_007516809.2,XM_011287420.1,XM_008578341.1,XM_004049785.1,XM_004838488.2,XM_005333768.1,XM_004653205.1,XM_003409242.1,XM_005565929.2,XM_011739488.1,XM_011965378.1,XM_017664390.1,NM_001281667.1,XM_012765550.1,XM_005352170.1,XM_016220720.1,XM_007478827.2,XM_006526702.3,XM_004749673.2,XM_008849595.1,XM_003255068.1,XM_004583369.2,XM_004632069.1,xm_004416153.1,XM_012536564.1,XM_002718503.3,XM_012801350.1,XM_004020028.3,XM_003825351.2,XM_001143930.4,XM_009214953.2,XM_009245623.1,XM_012659692.1,XM_011361589.1,XM_006231307.2,XM_010380456.1,XM_016151275.1,XM_003922406.1,XM_003755282.1,XM_012932514.1,XM_005671276.2,xm_004369919.1,xm_006147628.1,xm_004324245.1
OPRK1,NM_000912.4,NM_001321098.1,XM_002928871.2,XM_012442951.1,NM_001046480.3,XM_002758894.3,XM_010989545.1,XM_544080.5,NM_001314237.1,XM_008052653.1,NM_001172990.1,xm_004435697.2,XM_012073800.1,XM_005396062.2,XM_008000627.1,xm_006871858.1,XM_012723102.1,XM_007627888.1,XM_004479846.1,XM_013009281.1,XM_004697554.1,XM_006900525.1,XM_008143349.1,XM_014728019.1,XM_016185132.1,XM_003999811.2,XM_008582980.1,XM_004047004.1,XM_004837515.2,XM_005322903.1,XM_004653361.2,XM_003408315.2,XM_005563313.2,XM_011710454.1,XM_011998115.1,XM_017679198.1,XM_013125550.1,XM_012746597.1,XM_013351775.1,XM_016207720.1,XM_001368727.3,NM_001204371.1,XM_004768824.2,XM_008844425.1,XM_003255955.3,XM_004580789.1,XM_004633376.2,XM_004416041.2,XM_004275020.2,XM_008255523.2,XM_003793725.1,XM_004011957.3,XM_003823252.2,XM_009455386.2,XM_003902751.2,XM_002819080.2,XM_012661400.1,XM_011359153.1,NM_001318742.1,XM_010367727.1,XM_016128929.1,XM_003940853.2,XM_003759782.1,XM_004602337.1,XM_003355059.4,xm_004375606.1,XM_006140344.2,xm_004322851.1
OPRL1,NM_000913.5,XM_015148549.1,XM_002925699.2,XM_012440551.1,XM_015474110.1,XM_017972178.1,XM_010996992.1,XM_005635327.2,XM_005688252.3,XM_008059750.1,XM_013144564.1,xm_004430168.2,XM_012074114.1,XM_005409906.2,XM_008010281.1,XM_006873325.1,XM_004687118.2,XM_007610558.2,XM_004464924.1,XM_013030369.1,XM_004716024.1,XM_006896907.1,XM_008157153.1,XM_001495485.4,XM_016188748.1,XM_006929564.1,XM_008588058.1,XM_004062581.1,XM_004841131.1,XM_005325357.2,XM_004669531.1,XM_003421774.2,XM_015430070.1,XM_011722458.1,XM_011973973.1,XM_017655400.1,XM_013116575.1,XM_012773043.1,XM_005362659.1,XM_016202056.1,XM_007475485.2,XM_017316325.1,XM_004760085.2,XM_008843330.1,XM_004092889.2,XM_004585965.1,XM_004644130.1,XM_004410095.1,XM_004282377.1,xm_008255523.2,XM_003787797.2,XM_015099757.1,XM_003809935.2,XM_016938297.1,XM_009215703.2,XM_009233842.1,XM_012643420.1,XM_011374152.1,XM_006235738.3,XM_010365265.1,XM_016146781.1,XM_010343241.1,XM_003757551.1,XM_004620286.1,NM_214176.1,xm_004370148.1,XM_014583677.1,XM_004332136.1
OPRM1,NM_000914.4,XM_015137064.1,XM_011217052.1,XM_012451982.1,NM_174408.2,XM_017971499.1,XM_010994022.1,NM_001314122.1,XM_005684928.3,XM_008050435.1,NM_001172738.2,xm_014795480.1,XM_012066722.1,XM_005390563.2,XM_008007641.1,XM_006868444.1,XM_004673945.2,XM_016976750.1,XM_012519386.1,XM_013026982.1,XM_004701939.1,XM_006882749.1,XM_008154677.1,XM_014738201.1,XM_007516131.2,XM_003986663.3,xm_008582981.1,XM_004044859.1,NM_001267590.1,XM_005321386.1,XM_004651114.1,XM_010588919.1,XM_015448824.1,XM_011736267.1,XM_011970805.1,XM_017641803.1,XM_005065903.2,xm_012748152.1,XM_005363418.1,XM_016200669.1,XM_001381274.3,NM_001302793.1,XM_004778185.1,XM_008854729.1,XM_003255906.2,XM_012929893.1,XM_004628495.2,XM_004412848.2,XM_004263698.2,xm_017345438.1,XM_003797863.2,XM_004011420.2,XM_008963883.1,XM_016954732.1,XM_003898008.3,XM_002817504.3,XM_012646796.1,XM_011362711.1,NM_001304740.1,XM_010357556.1,XM_016156331.1,XM_010344269.1,XM_003769557.1,XM_004600783.1,NM_001001538.1,xm_004368814.1,XM_006139989.2,xm_004315352.1
ACKR1,NM_001122951.2,XM_001117200.3,,XM_012449733.1,NM_001015634.1,XM_008984691.2,XM_010977044.1,,XM_005677256.3,XM_008064550.1,XM_005002261.2,xm_004442819.2,XM_012093316.1,XM_005400165.1,XM_007976583.1,xm_006861752.1,XM_004688075.2,XM_003500262.1,XM_012517915.1,XM_013030546.1,XM_004714807.1,xm_006895524.1,XM_008154265.1,XM_001490641.4,,XM_003999667.2,XM_008587488.1,xm_004027057.1,XM_004858758.2,,XM_004671158.1,XM_010594863.1,NM_001319346.1,XM_011770013.1,XM_011978716.1,XM_017656188.1,XM_005078187.2,XM_012752372.1,XM_005368550.2,XM_016218694.1,,NM_010045.2,XM_004775812.2,XM_008840843.2,XM_003258679.3,XM_004589263.1,XM_004639997.1,XM_004407847.2,XM_004284466.1,XM_002715308.3,XM_012808486.1,XM_004002645.3,XM_003820979.2,XM_016930057.1,XM_003892886.2,XM_002809955.3,XM_012661870.1,XM_011373118.1,XM_002724893.2,XM_010357740.1,XM_016131140.1,XM_010348523.1,,,NM_001244095.1,xm_004391339.2,XM_006168857.2,xm_004326690.1
ACKR2,NM_001296.4,XM_015131226.1,XM_011232801.1,XM_012470702.1,XM_015459417.1,XM_008981472.2,XM_010974749.1,XM_005634316.2,xm_018066907.1,XM_008068558.1,XM_013160221.1,xm_004419574.2,XM_012034089.1,XM_005383526.2,XM_007983820.1,XM_006868828.1,XM_004695903.2,xm_007608261.2,XM_004479266.2,XM_013030283.1,XM_004708661.1,XM_006903649.1,XM_008157060.1,XM_005600791.1,XM_007537542.1,XM_006936496.2,XM_008569851.1,xm_004033932.1,XM_004835085.1,XM_005337919.2,XM_004662123.1,XM_003409927.1,XM_005546797.2,XM_011738906.1,XM_011984262.1,XM_017660520.1,xm_013126584.1,XM_012770283.1,XM_005348218.2,XM_016196194.1,,xm_017320697.1,XM_004754279.2,XM_017802298.1,XM_003256922.3,XM_004581716.1,XM_004640755.1,XM_004414601.2,XM_004277881.2,XM_008260235.2,XM_003794555.2,xm_015102130.1,XM_003809296.3,XM_016940835.1,XM_009201073.2,XM_002813880.3,XM_012639065.1,XM_011357486.1,nm_001108886.1,XM_010374332.1,XM_016163347.1,XM_003926208.2,,XM_004614607.1,XM_013981512.1,xm_004368434.2,XM_006155404.2,xm_004315972.1
ACKR3,NM_020311.2,XM_015111239.1,XM_011217071.1,XM_012434196.1,NM_001098381.2,XM_008999754.2,XM_010975800.1,NM_001003281.2,XM_018040775.1,XM_008054551.1,XM_005005702.2,xm_004427715.2,XM_012043907.1,XM_005395313.2,XM_007966757.1,XM_006866776.1,XM_004674179.2,XM_007638471.2,XM_004460750.2,XM_013023829.1,XM_004701689.1,XM_006893451.1,XM_008138431.1,XM_005610601.2,XM_007537657.1,XM_003991275.2,XM_008586556.1,xm_004033409.1,XM_004868382.2,XM_005326394.2,XM_004662273.1,XM_003417936.2,XM_005574718.2,XM_011727991.1,XM_011980287.1,XM_017675567.1,XM_005082218.2,XM_012754504.1,XM_005361706.2,XM_016220482.1,XM_001372654.3,NM_007722.4,XM_004777560.2,XM_008823662.2,XM_003277461.2,XM_004597404.1,XM_004637341.1,XM_004416944.2,XM_004262557.1,XM_002723240.3,XM_003798230.2,XM_004001768.2,XM_003813113.2,XM_009444606.2,XM_003908129.3,XM_002813029.3,XM_012648866.1,XM_011379992.1,NM_053352.1,XM_010357923.1,XM_016144300.1,XM_010347223.1,XM_003770240.2,XM_004610825.1,XM_003133759.3,xm_004386491.1,XM_006140338.2,xm_004318331.1
ACKR4,NM_178445.2,XM_001115492.3,XM_011233638.1,XM_012451231.1,NM_174265.2,XM_008983828.2,XM_010987817.1,XM_005634425.2,XM_005675607.3,XM_008051674.1,XM_013159682.1,xm_004419366.2,XM_012061484.1,XM_005406832.2,XM_008009110.1,XM_006840027.1,XM_012732192.1,XM_007639665.2,,,XM_004715987.1,,XM_008153119.1,XM_014731872.1,XM_007537585.2,XM_003992117.3,XM_008589754.1,xm_004036321.1,XM_004834235.2,XM_005327012.2,XM_004664329.1,XM_003420909.2,XM_005545781.2,XM_011755891.1,XM_011977986.1,XM_017671426.1,XM_005074829.2,XM_012766873.1,XM_005368459.2,XM_016224366.1,XM_016426430.1,XM_006511735.3,XM_004762498.2,XM_008832668.2,XM_003265229.1,XM_004588318.1,XM_012512557.1,XM_004415925.2,XM_004286535.1,XM_002716415.3,XM_012804973.1,XM_004003337.3,XM_003822514.2,XM_526311.5,XM_009201709.2,XM_002814055.2,XM_012664378.1,XM_011366064.1,XM_006243689.3,XM_010380175.1,XM_016140304.1,XM_003925075.2,,,NM_001097430.1,xm_004381408.2,XM_006165545.1,xm_004327598.1
ADORA1,NM_000674.2,XM_015118614.1,XM_002925434.2,XM_012459430.1,NM_174497.3,XM_017966570.1,XM_010983746.1,NM_001003279.1,XM_005690366.3,XM_008060464.1,XM_013157795.1,xm_014794129.1,XM_012037906.1,XM_013522574.1,XM_007988892.1,XM_006834116.1,XM_004685523.2,XM_007635721.2,XM_004481892.1,XM_013017364.1,XM_004699820.1,XM_006887883.1,XM_008159962.1,XM_005608080.2,XM_016187691.1,XM_006942873.2,XM_008577633.1,XM_004028181.1,XM_004862197.2,XM_005330323.2,XM_004670715.2,XM_010590223.1,XM_015448350.1,XM_011746693.1,XM_011990497.1,XM_017667765.1,XM_013115898.1,XM_012758701.1,xm_013346774.1,XM_016211599.1,xm_007481175.2,NM_001282945.1,XM_004756337.2,XM_008830351.2,XM_003264576.3,XM_004578946.1,XM_004625372.1,XM_004392785.1,XM_004282491.1,NM_001171073.1,XM_003792259.2,XM_012186905.1,XM_003822995.2,XM_009440946.1,XM_003893275.3,NM_001131239.1,XM_012655921.1,XM_011367302.1,XM_006249861.3,XM_010378818.1,XM_016130785.1,XM_003938297.2,XM_003767576.2,XM_004610041.1,XM_005653724.2,xm_004375269.1,XM_006159165.2,XM_004328093.1
ADORA2A,NM_000675.5,XM_001095531.3,XM_011232091.1,XM_012454160.1,XM_005195135.3,XM_009007848.2,XM_010987300.1,NM_001003278.1,XM_018044915.1,XM_008069098.1,XM_013141514.1,xm_014797339.1,XM_012038681.1,XM_005396385.2,XM_007975197.1,XM_006874948.1,XM_004680915.2,XM_007621760.2,XM_004467695.1,XM_013014244.1,XM_004716372.1,XM_006901426.1,XM_008157263.1,NM_001081897.1,XM_007533794.2,XM_006938629.2,XM_008574498.1,XM_004063176.1,XM_013071689.1,XM_013362470.1,XM_004672791.1,XM_010598713.1,XM_005567785.2,XM_011770651.1,XM_011989162.1,XM_017663234.1,XM_013113828.1,XM_012749314.1,XM_013351148.1,XM_016204243.1,XM_007506662.2,NM_001331095.1,XM_004742453.2,XM_008835761.1,XM_003280823.1,XM_004592033.1,XM_004636324.1,XM_004400545.1,XM_004276056.2,XM_008250164.2,XM_003803139.2,XM_015101442.1,XM_008953063.2,XM_003317142.2,XM_003905324.3,XM_009234194.1,XM_012661008.1,XM_011356013.1,XM_017601553.1,XM_010376306.1,XM_016126158.1,XM_010349235.1,xm_012543869.1,XM_004607434.1,XM_003483462.3,xm_004386210.1,XM_006157175.2,XM_004319065.1
ADORA2B,NM_000676.2,XM_001088484.3,XM_011227052.1,xm_012477579.1,NM_001075925.1,XM_017971702.1,XM_010975310.1,NM_001002944.1,XM_005694239.3,XM_008062609.1,XM_013148642.1,xm_004433026.2,XM_012029976.1,XM_005399305.1,XM_008010492.1,XM_006875908.1,XM_004685063.2,XM_007618908.1,XM_012524846.1,XM_013016373.1,XM_004709194.1,XM_006903598.1,XM_008156208.1,XM_001918390.3,XM_007526169.2,XM_011288824.1,XM_008570815.1,xm_004042224.1,XM_004870776.2,XM_005340822.1,XM_004663101.1,XM_010600154.1,XM_005582994.2,XM_011757242.1,XM_011975247.1,XM_017671378.1,XM_005067636.2,xm_012737900.1,XM_005349891.2,XM_016196444.1,XM_003340525.3,NM_007413.4,XM_004779878.2,XM_008825222.2,XM_004092924.1,XM_004599304.2,XM_004634842.1,XM_004405112.2,XM_004266808.2,NM_001082175.2,XM_003791066.1,XM_015098332.1,XM_003804881.3,XM_511779.4,XM_003912391.3,XM_002827063.2,XM_012651439.1,XM_011359021.1,NM_017161.1,XM_010387755.1,XM_016145130.1,XM_003929268.2,XM_012549872.1,XM_004616279.1,XM_005658145.2,xm_004375960.1,XM_006153182.2,XM_004311917.1
