RefSeqRNA Accession,Entrez ID,Gene Name,Gene Summary,NCBI Link
NM_000389,1026,cyclin dependent kinase inhibitor 1A,"This gene encodes a potent cyclin-dependent kinase inhibitor. The encoded protein binds to and inhibits the activity of cyclin-cyclin-dependent kinase2 or -cyclin-dependent kinase4 complexes, and thus functions as a regulator of cell cycle progression at G1. The expression of this gene is tightly controlled by the tumor suppressor protein p53, through which this protein mediates the p53-dependent cell cycle G1 phase arrest in response to a variety of stress stimuli. This protein can interact with proliferating cell nuclear antigen, a DNA polymerase accessory factor, and plays a regulatory role in S phase DNA replication and DNA damage repair. This protein was reported to be specifically cleaved by CASP3-like caspases, which thus leads to a dramatic activation of cyclin-dependent kinase2, and may be instrumental in the execution of apoptosis following caspase activation. Mice that lack this gene have the ability to regenerate damaged or missing tissue. Multiple alternatively spliced variants have been found for this gene.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1026"">https://www.ncbi.nlm.nih.gov/gene/1026</a>"
NM_005195,1052,CCAAT/enhancer binding protein delta,"The protein encoded by this intronless gene is a bZIP transcription factor which can bind as a homodimer to certain DNA regulatory regions. It can also form heterodimers with the related protein CEBP-alpha. The encoded protein is important in the regulation of genes involved in immune and inflammatory responses, and may be involved in the regulation of genes associated with activation and/or differentiation of macrophages. The cytogenetic location of this locus has been reported as both 8p11 and 8q11.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1052"">https://www.ncbi.nlm.nih.gov/gene/1052</a>"
NM_001039936,1124,chimerin 2,"This gene encodes a guanosine triphosphate (GTP)-metabolizing protein that contains a phorbol-ester/diacylglycerol (DAG)-type zinc finger, a Rho-GAP domain, and an SH2 domain. The encoded protein translocates from the cytosol to the Golgi apparatus membrane upon binding by diacylglycerol (DAG). Activity of this protein is important in cell proliferation and migration, and expression changes in this gene have been detected in cancers. A mutation in this gene has also been associated with schizophrenia in men. Alternative transcript splicing and the use of alternative promoters results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1124"">https://www.ncbi.nlm.nih.gov/gene/1124</a>"
NM_000744,1137,cholinergic receptor nicotinic alpha 4 subunit,"This gene encodes a nicotinic acetylcholine receptor, which belongs to a superfamily of ligand-gated ion channels that play a role in fast signal transmission at synapses. These pentameric receptors can bind acetylcholine, which causes an extensive change in conformation that leads to the opening of an ion-conducting channel across the plasma membrane. This protein is an integral membrane receptor subunit that can interact with either nAChR beta-2 or nAChR beta-4 to form a functional receptor. Mutations in this gene cause nocturnal frontal lobe epilepsy type 1. Polymorphisms in this gene that provide protection against nicotine addiction have been described. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1137"">https://www.ncbi.nlm.nih.gov/gene/1137</a>"
NM_000746,1139,cholinergic receptor nicotinic alpha 7 subunit,"The nicotinic acetylcholine receptors (nAChRs) are members of a superfamily of ligand-gated ion channels that mediate fast signal transmission at synapses. The nAChRs are thought to be hetero-pentamers composed of homologous subunits. The proposed structure for each subunit is a conserved N-terminal extracellular domain followed by three conserved transmembrane domains, a variable cytoplasmic loop, a fourth conserved transmembrane domain, and a short C-terminal extracellular region. The protein encoded by this gene forms a homo-oligomeric channel, displays marked permeability to calcium ions and is a major component of brain nicotinic receptors that are blocked by, and highly sensitive to, alpha-bungarotoxin. Once this receptor binds acetylcholine, it undergoes an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. This gene is located in a region identified as a major susceptibility locus for juvenile myoclonic epilepsy and a chromosomal location involved in the genetic transmission of schizophrenia. An evolutionarily recent partial duplication event in this region results in a hybrid containing sequence from this gene and a novel FAM7A gene. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1139"">https://www.ncbi.nlm.nih.gov/gene/1139</a>"
NM_001823,1152,creatine kinase B,"The protein encoded by this gene is a cytoplasmic enzyme involved in energy homeostasis. The encoded protein reversibly catalyzes the transfer of phosphate between ATP and various phosphogens such as creatine phosphate. It acts as a homodimer in brain as well as in other tissues, and as a heterodimer with a similar muscle isozyme in heart. The encoded protein is a member of the ATP:guanido phosphotransferase protein family. A pseudogene of this gene has been characterized.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1152"">https://www.ncbi.nlm.nih.gov/gene/1152</a>"
NM_001243372,1182,chloride voltage-gated channel 3,"This gene encodes a member of the voltage-gated chloride channel (ClC) family. The encoded protein is present in all cell types and localized in plasma membranes and in intracellular vesicles. It is a multi-pass membrane protein which contains a ClC domain and two additional C-terminal CBS (cystathionine beta-synthase) domains. The ClC domain catalyzes the selective flow of Cl- ions across cell membranes, and the CBS domain may have a regulatory function. This protein plays a role in both acidification and transmitter loading of GABAergic synaptic vesicles, and in smooth muscle cell activation and neointima formation. This protein is required for lysophosphatidic acid (LPA)-activated Cl- current activity and fibroblast-to-myofibroblast differentiation. The protein activity is regulated by Ca(2+)/calmodulin-dependent protein kinase II (CaMKII) in glioma cells. Multiple alternatively spliced transcript variants encoding different isoforms have been identified.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1182"">https://www.ncbi.nlm.nih.gov/gene/1182</a>"
NM_001130861,7122,claudin 5,This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets. Mutations in this gene have been found in patients with velocardiofacial syndrome. Alternatively spliced transcript variants encoding the same protein have been found for this gene.,"<a href=""https://www.ncbi.nlm.nih.gov/gene/7122"">https://www.ncbi.nlm.nih.gov/gene/7122</a>"
NM_001185022,1366,claudin 7,"This gene encodes a member of the claudin family. Claudins are integral membrane proteins and components of tight junction strands. Tight junction strands serve as a physical barrier to prevent solutes and water from passing freely through the paracellular space between epithelial or endothelial cell sheets, and also play critical roles in maintaining cell polarity and signal transductions. Differential expression of this gene has been observed in different types of malignancies, including breast cancer, ovarian cancer, hepatocellular carcinomas, urinary tumors, prostate cancer, lung cancer, head and neck cancers, thyroid carcinomas, etc.. Alternatively spliced transcript variants encoding different isoforms have been found.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1366"">https://www.ncbi.nlm.nih.gov/gene/1366</a>"
NM_013943,25932,chloride intracellular channel 4,"Chloride channels are a diverse group of proteins that regulate fundamental cellular processes including stabilization of cell membrane potential, transepithelial transport, maintenance of intracellular pH, and regulation of cell volume. Chloride intracellular channel 4 (CLIC4) protein, encoded by the CLIC4 gene, is a member of the p64 family; the gene is expressed in many tissues and exhibits a intracellular vesicular pattern in Panc-1 cells (pancreatic cancer cells).","<a href=""https://www.ncbi.nlm.nih.gov/gene/25932"">https://www.ncbi.nlm.nih.gov/gene/25932</a>"
NM_001267843,9575,clock circadian regulator,"The protein encoded by this gene plays a central role in the regulation of circadian rhythms. The protein encodes a transcription factor of the basic helix-loop-helix (bHLH) family and contains DNA binding histone acetyltransferase activity. The encoded protein forms a heterodimer with ARNTL (BMAL1) that binds E-box enhancer elements upstream of Period (PER1, PER2, PER3) and Cryptochrome (CRY1, CRY2) genes and activates transcription of these genes. PER and CRY proteins heterodimerize and repress their own transcription by interacting in a feedback loop with CLOCK/ARNTL complexes. Polymorphisms in this gene may be associated with behavioral changes in certain populations and with obesity and metabolic syndrome. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/9575"">https://www.ncbi.nlm.nih.gov/gene/9575</a>"
NM_001199468,1209,"CLPTM1, transmembrane protein",,"<a href=""https://www.ncbi.nlm.nih.gov/gene/1209"">https://www.ncbi.nlm.nih.gov/gene/1209</a>"
NM_001834,1212,clathrin light chain B,"Clathrin is a large, soluble protein composed of heavy and light chains. It functions as the main structural component of the lattice-type cytoplasmic face of coated pits and vesicles which entrap specific macromolecules during receptor-mediated endocytosis. This gene encodes one of two clathrin light chain proteins which are believed to function as regulatory elements. Alternative splicing results in multiple transcript variants.","<a href=""https://www.ncbi.nlm.nih.gov/gene/1212"">https://www.ncbi.nlm.nih.gov/gene/1212</a>"
